name,diet,period,lived_in,type,length,taxonomy,named_by,species,link
dryosaurus,herbivorous,Late Jurassic 155-140 million years ago,USA,euornithopod,4.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,Marsh (1894),altus,https://www.nhm.ac.uk/discover/dino-directory/dryosaurus.html
dryptosaurus,carnivorous,Late Cretaceous 84-65 million years ago,USA,large theropod,6.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Cope (1866),aquilunguis,https://www.nhm.ac.uk/discover/dino-directory/dryptosaurus.html
dubreuillosaurus,carnivorous,Late Jurassic 169-164 million years ago,France,large theropod,,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Allain (2005),valesdunensis,https://www.nhm.ac.uk/discover/dino-directory/dubreuillosaurus.html
edmontonia,herbivorous,Late Cretaceous 76-74 million years ago,Canada,armoured dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Sternberg (1928),longiceps,https://www.nhm.ac.uk/discover/dino-directory/edmontonia.html
edmontosaurus,herbivorous,Late Cretaceous 76-65 million years ago,Canada,euornithopod,13.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Lambe (1917),regalis,https://www.nhm.ac.uk/discover/dino-directory/edmontosaurus.html
einiosaurus,herbivorous,Late Cretaceous 74 million years ago,USA,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sampson  (1995),procurvicornis,https://www.nhm.ac.uk/discover/dino-directory/einiosaurus.html
elaphrosaurus,carnivorous,Late Jurassic 154-151 million years ago,Tanzania,large theropod,6.2m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Janensch (1920),bambergi,https://www.nhm.ac.uk/discover/dino-directory/elaphrosaurus.html
emausaurus,herbivorous,Mid Jurassic 190-180 million years ago,Germany,armoured dinosaur,2.0m,Dinosauria Ornithischia Genasauria Thyreophora,Haubold (1991),ernsti,https://www.nhm.ac.uk/discover/dino-directory/emausaurus.html
eolambia,herbivorous,Late Cretaceous 99-94 million years ago,USA,euornithopod,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Kirkland (1998),caroljonesa,https://www.nhm.ac.uk/discover/dino-directory/eolambia.html
eoraptor,carnivorous,Late Triassic 228 million years ago,Argentina,small theropod,1.0m,Dinosauria Saurischia Theropoda,Sereno Forster Rogers and Monetta (1993),lunensis,https://www.nhm.ac.uk/discover/dino-directory/eoraptor.html
eotyrannus,carnivorous,Early Cretaceous 127-121 million years ago,United Kingdom,large theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Hutt Naish Martill Barker and Newberry (2001),lengi,https://www.nhm.ac.uk/discover/dino-directory/eotyrannus.html
equijubus,herbivorous,Early Cretaceous 127-99 million years ago,China,euornithopod,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,You Luo Shubin Witmer Tang and Tang (2003),normani,https://www.nhm.ac.uk/discover/dino-directory/equijubus.html
erketu,herbivorous,Early Cretaceous,Mongolia,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Ksepka and Norell (2006),ellisoni,https://www.nhm.ac.uk/discover/dino-directory/erketu.html
erlikosaurus,omnivorous,Late Cretaceous 99-89 million years ago,Mongolia,small theropod,3.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Perle vide Barsbold and Perle (1980),andrewsi,https://www.nhm.ac.uk/discover/dino-directory/erlikosaurus.html
euhelopus,herbivorous,Late Jurassic 154-142 million years ago,China,sauropod,10.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Wiman (1929),zdanskyi,https://www.nhm.ac.uk/discover/dino-directory/euhelopus.html
euoplocephalus,herbivorous,Late Cretaceous 76-70 million years ago,USA,armoured dinosaur,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,tutus,,https://www.nhm.ac.uk/discover/dino-directory/euoplocephalus.html
europasaurus,herbivorous,Late Jurassic 154-151 million years ago,Germany,sauropod,6.2m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,Sander Mateus Laven and Knötschke (2006),holgeri,https://www.nhm.ac.uk/discover/dino-directory/europasaurus.html
eustreptospondylus,carnivorous,Mid Jurassic 165 million years ago,United Kingdom,large theropod,7.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Walker (1964),oxoniensis,https://www.nhm.ac.uk/discover/dino-directory/eustreptospondylus.html
fukuiraptor,carnivorous,Early Cretaceous 121-99 million years ago,Japan,large theropod,4.2m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,Azuma and Currie (2000),kitadaniensis,https://www.nhm.ac.uk/discover/dino-directory/fukuiraptor.html
fukuisaurus,herbivorous,Early Cretaceous 121-99 million years ago,Japan,euornithopod,4.7m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Kobayashi and Azuma (2003),tetoriensius,https://www.nhm.ac.uk/discover/dino-directory/fukuisaurus.html
gallimimus,omnivorous,Late Cretaceous 74-70 million years ago,Mongolia,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Osmólska Roniewicz and Barsbold (1972),bullatus,https://www.nhm.ac.uk/discover/dino-directory/gallimimus.html
gargoyleosaurus,herbivorous,Late Jurassic 154-142 million years ago,USA,armoured dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Carpenter Miles and Cloward (1998),parkpinorum,https://www.nhm.ac.uk/discover/dino-directory/gargoyleosaurus.html
garudimimus,omnivorous,Late Cretaceous 99-89 million years ago,Mongolia,large theropod,4.7m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Barsbold (1981),brevipes,https://www.nhm.ac.uk/discover/dino-directory/garudimimus.html
gasosaurus,carnivorous,Mid Jurassic 170-160 million years ago,China,small theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,Dong and Tang (1985),constructus,https://www.nhm.ac.uk/discover/dino-directory/gasosaurus.html
gasparinisaura,herbivorous,Late Cretaceous 86-71 million years ago,Argentina,euornithopod,0.8m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Coria and Salgado (1996),cincosaltensis,https://www.nhm.ac.uk/discover/dino-directory/gasparinisaura.html
gastonia,herbivorous,Early Cretaceous 142-127 million years ago,USA,armoured dinosaur,4.6m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Kirkland (1998),burgei,https://www.nhm.ac.uk/discover/dino-directory/gastonia.html
giganotosaurus,carnivorous,Early Cretaceous 112-90 million years ago,Argentina,large theropod,12.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Coria and Salgado (1995),carolinii,https://www.nhm.ac.uk/discover/dino-directory/giganotosaurus.html
gilmoreosaurus,herbivorous,Late Cretaceous 76-70 million years ago,China,euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Brett-Surman (1979),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/gilmoreosaurus.html
giraffatitan,herbivorous,Late Jurassic 154-142 million years ago,Tanzania,sauropod,23.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Janensch (1914),brancai,https://www.nhm.ac.uk/discover/dino-directory/giraffatitan.html
gobisaurus,herbivorous,Early Cretaceous 121-99 million years ago,China,armoured dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Vickaryous Russell Currie and Zhao (2001),domoculus,https://www.nhm.ac.uk/discover/dino-directory/gobisaurus.html
gorgosaurus,carnivorous,Late Cretaceous 80-73 million years ago,USA,large theropod,8.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),libratus,https://www.nhm.ac.uk/discover/dino-directory/gorgosaurus.html
goyocephale,herbivorous,Late Cretaceous 81-75 million years ago,Mongolia,large theropod,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala,Perle Maryańska and Osmólska (1982),lattimorei,https://www.nhm.ac.uk/discover/dino-directory/goyocephale.html
graciliceratops,herbivorous,Late Cretaceous 99-84 million years ago,Mongolia,ceratopsian,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Sereno (2000),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/graciliceratops.html
gryposaurus,herbivorous,Late Cretaceous 86-71 million years ago,USA,euornithopod,10.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Lambe (1914),notabilis,https://www.nhm.ac.uk/discover/dino-directory/gryposaurus.html
guaibasaurus,herbivorous,Late Triassic 221-210 million years ago,Brazil,small theropod,1.8m,Dinosauria Saurischia Theropoda,Bonaparte Ferigolo and Ribeiro (1999),candelariensis,https://www.nhm.ac.uk/discover/dino-directory/guaibasaurus.html
guanlong,carnivorous,Late Jurassic 159-154 million years ago,China,small theropod,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Xu Clark Forster Norell Erickson Eberth Jia and Zhao (2006),wucaii,https://www.nhm.ac.uk/discover/dino-directory/guanlong.html
hadrosaurus,herbivorous,Late Cretaceous 78-74 million years ago,USA,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Leidy (1858),foulkii,https://www.nhm.ac.uk/discover/dino-directory/hadrosaurus.html
hagryphus,omnivorous,USA,,small theropod,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria,Zanno and Sampson (2005),giganteus,https://www.nhm.ac.uk/discover/dino-directory/hagryphus.html
haplocanthosaurus,herbivorous,Late Jurassic 154-142 million years ago,USA,sauropod,21.5m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,Hatcher (1903),priscus,https://www.nhm.ac.uk/discover/dino-directory/haplocanthosaurus.html
harpymimus,omnivorous,Early Cretaceous 121-99 million years ago,Mongolia,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Barsbold and Perle (1984),okladnikovi,https://www.nhm.ac.uk/discover/dino-directory/harpymimus.html
herrerasaurus,carnivorous,Late Triassic 228 million years ago,Argentina,small theropod,3.0m,Dinosauria Saurischia Theropoda Herrerasauridae,Reig (1963),ischigualastensis,https://www.nhm.ac.uk/discover/dino-directory/herrerasaurus.html
hesperosaurus,herbivorous,Late Jurassic 154-142 million years ago,USA,armoured dinosaur,6.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Carpenter Miles and Cloward (2001),mjosi,https://www.nhm.ac.uk/discover/dino-directory/hesperosaurus.html
heterodontosaurus,herbivorous,Early Jurassic 205 million years ago,South Africa,euornithopod,1.2m,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,Crompton and Charig (1962),tucki,https://www.nhm.ac.uk/discover/dino-directory/heterodontosaurus.html
heyuannia,omnivorous,Late Cretaceous 72-68 million years ago,Mongolia,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Barsbold (1981),yanshini,https://www.nhm.ac.uk/discover/dino-directory/heyuannia.html
homalocephale,herbivorous,Late Cretaceous 72-68 million years ago,Mongolia,euornithopod,1.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea,Maryańska and Osmólska (1974),calathocercos,https://www.nhm.ac.uk/discover/dino-directory/homalocephale.html
huayangosaurus,herbivorous,Mid Jurassic 170-160 million years ago,China,armoured dinosaur,4.5m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Huayangosauridae,Dong Tang and Zhou (1982),taibaii,https://www.nhm.ac.uk/discover/dino-directory/huayangosaurus.html
hylaeosaurus,herbivorous,Early Cretaceous 150-135 million years ago,United Kingdom,armoured dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Mantell (1833),armatus,https://www.nhm.ac.uk/discover/dino-directory/hylaeosaurus.html
hypacrosaurus,herbivorous,Late Cretaceous 70 million years ago,USA,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Brown (1913),altispinus,https://www.nhm.ac.uk/discover/dino-directory/hypacrosaurus.html
hypsilophodon,herbivorous,Early Cretaceous 125 million years ago,United Kingdom,euornithopod,2.3m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Hypsilophodontidae,Huxley (1869),foxii,https://www.nhm.ac.uk/discover/dino-directory/hypsilophodon.html
iguanodon,herbivorous,Early Cretaceous 140-110 million years ago,United Kingdom,euornithopod,10.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Boulenger and van Beneden (1881),bernissartensis,https://www.nhm.ac.uk/discover/dino-directory/iguanodon.html
indosuchus,carnivorous,Late Cretaceous 71-65 million years ago,India,large theropod,7.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Huene and Matley (1933),raptorius,https://www.nhm.ac.uk/discover/dino-directory/indosuchus.html
irritator,carnivorous,Early Cretaceous 112-99 million years ago,Brazil,large theropod,6.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,Martill Cruickshank Frey Small and Clarke (1996),challengeri,https://www.nhm.ac.uk/discover/dino-directory/irritator.html
isisaurus,herbivorous,Late Cretaceous 71-65 million years ago,India,sauropod,,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Jain and Bandyopadhyay (1997),colberti,https://www.nhm.ac.uk/discover/dino-directory/isisaurus.html
janenschia,herbivorous,Late Jurassic 154-151 million years ago,Tanzania,sauropod,20.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Wild (1991),robusta,https://www.nhm.ac.uk/discover/dino-directory/janenschia.html
jaxartosaurus,herbivorous,Late Cretaceous 94-84 million years ago,Kazakhstan,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Riabinin (1939),aralensis,https://www.nhm.ac.uk/discover/dino-directory/jaxartosaurus.html
jingshanosaurus,herbivorous,Early Jurassic 205-190 million years ago,China,sauropod,5.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,Zhang and Yang (1995),xinwaensis,https://www.nhm.ac.uk/discover/dino-directory/jingshanosaurus.html
jinzhousaurus,herbivorous,Early Cretaceous 127-121 million years ago,China,euornithopod,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Wang and Xu (2001),yangi,https://www.nhm.ac.uk/discover/dino-directory/jinzhousaurus.html
jobaria,herbivorous,Early Cretaceous 132-94 million years ago,Niger,sauropod,21.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,Sereno Beck Dutheil Larsson Lyon Moussa Sadleir Sidor Varricchio Wilson and Wilson (1999),tiguidensis,https://www.nhm.ac.uk/discover/dino-directory/jobaria.html
juravenator,carnivorous,Late Jurassic 154-151 million years ago,Germany,small theropod,0.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Göhlich &amp; Chiappe (2006),starki,https://www.nhm.ac.uk/discover/dino-directory/juravenator.html
kentrosaurus,herbivorous,Late Jurassic 155-150 million years ago,Tanzania,armoured dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Hennig (1915),aethiopicus,https://www.nhm.ac.uk/discover/dino-directory/kentrosaurus.html
khaan,omnivorous,Late Cretaceous 81-75 million years ago,Mongolia,small theropod,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Clark Norell and Barsbold (2001),mckennai,https://www.nhm.ac.uk/discover/dino-directory/khaan.html
kotasaurus,herbivorous,Early Jurassic 205-180 million years ago,India,sauropod,9.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda,Yadagiri (1988),yamanpalliensis,https://www.nhm.ac.uk/discover/dino-directory/kotasaurus.html
kritosaurus,herbivorous,Late Cretaceous 78-74 million years ago,USA,euornithopod,8.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1910),navajovius,https://www.nhm.ac.uk/discover/dino-directory/kritosaurus.html
lambeosaurus,herbivorous,Late Cretaceous 76-74 million years ago,Canada,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Parks (1923),lambei,https://www.nhm.ac.uk/discover/dino-directory/lambeosaurus.html
lapparentosaurus,herbivorous,Mid Jurassic 169-164 million years ago,Madagascar,sauropod,,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,Bonaparte (1986),madagascariensis,https://www.nhm.ac.uk/discover/dino-directory/lapparentosaurus.html
leaellynasaura,herbivorous,Early Cretaceous 115-110 million years ago,Australia,euornithopod,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Rich and Rich (1989),amicagraphica,https://www.nhm.ac.uk/discover/dino-directory/leaellynasaura.html
leptoceratops,herbivorous,Late Cretaceous 67-65 million years ago,USA,ceratopsian,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Brown (1914),gracilis,https://www.nhm.ac.uk/discover/dino-directory/leptoceratops.html
lesothosaurus,herbivorous,Early Jurassic 213-200 million years ago,Lesotho,1.0m,,Dinosauria Ornithischia,Galton (1978),diagnosticus,https://www.nhm.ac.uk/discover/dino-directory/lesothosaurus.html
liaoceratops,herbivorous,Early Cretaceous 127-121 million years ago,China,ceratopsian,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Xu Makovicky Wang Norell and You (2002),yanzigouensis,https://www.nhm.ac.uk/discover/dino-directory/liaoceratops.html
ligabuesaurus,herbivorous,Early Cretaceous 121-99 million years ago,Argentina,sauropod,24.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Bonaparte González Riga and Apesteguía (2006),leanzai,https://www.nhm.ac.uk/discover/dino-directory/ligabuesaurus.html
liliensternus,carnivorous,Late Triassic 205-202 million years ago,Germany,small theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda,Huene (1934),liliensterni,https://www.nhm.ac.uk/discover/dino-directory/liliensternus.html
lophorhothon,herbivorous,Late Cretaceous 84-71 million years ago,USA,euornithopod,4.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Xu Makovicky Wang Norell and You (1960),atopus,https://www.nhm.ac.uk/discover/dino-directory/lophorhothon.html
lophostropheus,carnivorous,Early Jurassic 203-196 million years ago,France,large theropod,6.2m,Dinosauria Saurischia,Ezcurra and Cuny 2007 (1993),airelensis,https://www.nhm.ac.uk/discover/dino-directory/lophostropheus.html
lufengosaurus,herbivorous,Early Jurassic 200-195 million years ago,China,sauropod,6.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Young (1941),huenei,https://www.nhm.ac.uk/discover/dino-directory/lufengosaurus.html
lurdusaurus,herbivorous,Early Cretaceous 121-112 million years ago,Niger,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Taquet &amp; Russell (1999),arenatus,https://www.nhm.ac.uk/discover/dino-directory/lurdusaurus.html
lycorhinus,herbivorous,Late Triassic 205-195 million years ago,South Africa,euornithopod,1.2m,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,Haughton (1924),angustidens,https://www.nhm.ac.uk/discover/dino-directory/lycorhinus.html
magyarosaurus,herbivorous,Late Cretaceous 71-65 million years ago,Romania,sauropod,5.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Nopcsa (1915),dacus,https://www.nhm.ac.uk/discover/dino-directory/magyarosaurus.html
maiasaura,herbivorous,Late Cretaceous 80-75 million years ago,USA,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Horner and Makela (1979),peeblesorum,https://www.nhm.ac.uk/discover/dino-directory/maiasaura.html
majungasaurus,carnivorous,Late Cretaceous 84-71 million years ago,Madagascar,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Sues &amp; Taquet (1979),atopus,https://www.nhm.ac.uk/discover/dino-directory/majungasaurus.html
malawisaurus,herbivorous,Early Cretaceous 121-112 million years ago,Malawi,sauropod,9.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Haughton (1928),dixeyi,https://www.nhm.ac.uk/discover/dino-directory/malawisaurus.html
mamenchisaurus,herbivorous,Late Jurassic 155-145 million years ago,China,sauropod,22.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Young (1954),constructus,https://www.nhm.ac.uk/discover/dino-directory/mamenchisaurus.html
mapusaurus,carnivorous,Late Cretaceous 99-94 million years ago,Argentina,large theropod,13.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae Charcharodontosauridae Giganotosaurinae,Coria and Currie (2006),roseae,https://www.nhm.ac.uk/discover/dino-directory/mapusaurus.html
marshosaurus,carnivorous,Late Jurassic 154-142 million years ago,USA,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,Madsen (1976),bicentesimus,https://www.nhm.ac.uk/discover/dino-directory/marshosaurus.html
masiakasaurus,carnivorous,Late Cretaceous 84-71 million years ago,Madagascar,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Sampson Carrano &amp; Forster (2001),knopfleri,https://www.nhm.ac.uk/discover/dino-directory/masiakasaurus.html
massospondylus,omnivorous,Early Jurassic 208-204 million years ago,Zimbabwe,sauropod,4.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Owen (1854),carinatus,https://www.nhm.ac.uk/discover/dino-directory/massospondylus.html
maxakalisaurus,herbivorous,Late Cretaceous 80 million years ago,Brazil,sauropod,13.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae Saltasaurinae,Kellner et al. (2006),topai,https://www.nhm.ac.uk/discover/dino-directory/maxakalisaurus.html
megalosaurus,carnivorous,Mid Jurassic 170-155 million years ago,United Kingdom,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Ritgen (1826),bucklandii,https://www.nhm.ac.uk/discover/dino-directory/megalosaurus.html
melanorosaurus,omnivorous,Late Triassic 227-221 million years ago,South Africa,sauropod,12.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,Haughton (1924),readi,https://www.nhm.ac.uk/discover/dino-directory/melanorosaurus.html
metriacanthosaurus,carnivorous,Late Jurassic 159-154 million years ago,United Kingdom,large theropod,8.2m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,Walker (1964),parkeri,https://www.nhm.ac.uk/discover/dino-directory/metriacanthosaurus.html
microceratus,herbivorous,Late Cretaceous 86-66 million years ago,Mongolia,ceratopsian,0.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Bohlin (1953),gobiensis,https://www.nhm.ac.uk/discover/dino-directory/microceratus.html
micropachycephalosaurus,herbivorous,Late Cretaceous 84-71 million years ago,China,ceratopsian,0.6m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,Dong (1978),hongtuyanensis,https://www.nhm.ac.uk/discover/dino-directory/micropachycephalosaurus.html
